Core,Site,DepthConsolidated,AgeConsolidated500,Age,Acropora,Montipora,Euphyllia,Goniopora,Porites,Merulinidae,Unknown,Heliopora,Fungia,Diploastrea,Tubastrea,Astreopora,Echinophyllia,Pachyseris,Turbinaria,Pavona,Oxypora,Podabacia,Pseudosiderastrea,Psammocora
CY01,CY,5,7500,7103,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY01,CY,10,7500,7103,0,0.18262373,0,0.740004322,0,0.077371947,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY01,CY,15,7500,7104,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY01,CY,20,7500,7105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY01,CY,25,7500,7106,0,0,0,0,0.973497531,0.026502469,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY01,CY,30,7500,7108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY01,CY,35,7500,7109,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY01,CY,40,7500,7110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY01,CY,45,7500,7111,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY01,CY,50,7500,7112,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY01,CY,55,7500,7113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY01,CY,60,7500,7114,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY01,CY,65,7500,7115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY01,CY,70,7500,7116,0,0,0,0,0,0.36116382,0.63883618,0,0,0,0,0,0,0,0,0,0,0,0,0
CY01,CY,75,7500,7117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY01,CY,80,7500,7118,0.154740061,0.383180428,0.29266055,0.098470948,0,0,0,0.070948012,0,0,0,0,0,0,0,0,0,0,0,0
CY01,CY,85,7500,7119,0.264004437,0,0,0.376594565,0,0,0.359400998,0,0,0,0,0,0,0,0,0,0,0,0,0
CY01,CY,90,7500,7120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY01,CY,95,7500,7120,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY02,CY,5,7000,6725,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY02,CY,10,7000,6773,0,0,0,0.950151057,0,0,0.049848943,0,0,0,0,0,0,0,0,0,0,0,0,0
CY02,CY,15,7000,6823,0,0,0,0.906028181,0,0,0.093971819,0,0,0,0,0,0,0,0,0,0,0,0,0
CY02,CY,20,7000,6871,0,0,0,0.395374624,0.604625376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY02,CY,25,7000,6921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY02,CY,30,7000,6971,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY02,CY,35,7500,7020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY02,CY,40,7500,7069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY02,CY,45,7500,7119,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY02,CY,50,7500,7168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY02,CY,55,7500,7217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY02,CY,60,7500,7264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY02,CY,65,7500,7312,0.833730348,0,0,0,0,0,0,0,0.166269652,0,0,0,0,0,0,0,0,0,0,0
CY03,CY,5,7000,6599,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CY03,CY,10,7000,6648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY03,CY,15,7000,6698,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CY03,CY,20,7000,6748,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY03,CY,25,7000,6798,0,0.280043757,0,0,0.528520081,0,0.102203469,0,0,0,0.089232693,0,0,0,0,0,0,0,0,0
CY03,CY,30,7000,6850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY03,CY,35,7000,6900,0.376114082,0,0,0,0,0,0.623885918,0,0,0,0,0,0,0,0,0,0,0,0,0
CY03,CY,40,7000,6948,0.18265896,0,0,0,0.81734104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY03,CY,45,7000,6998,0,0,0.973631982,0,0,0,0.026368018,0,0,0,0,0,0,0,0,0,0,0,0,0
CY03,CY,50,7500,7045,0,0,0,0.129230259,0.861147976,0,0.009621765,0,0,0,0,0,0,0,0,0,0,0,0,0
CY03,CY,55,7500,7093,0,0,0,0.723110624,0,0,0.257174151,0.019715225,0,0,0,0,0,0,0,0,0,0,0,0
CY03,CY,60,7500,7139,0,0,0,0,0,0,0.339717201,0.019509576,0,0,0,0,0,0.640773224,0,0,0,0,0,0
CY03,CY,65,7500,7186,0,0,0.15599393,0.804855842,0.039150228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY03,CY,70,7500,7233,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY03,CY,75,7500,7281,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY03,CY,80,7500,7330,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY03,CY,85,7500,7376,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY03,CY,90,7500,7423,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY03,CY,95,7500,7470,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY03,CY,100,8000,7516,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY03,CY,105,8000,7556,0,0,0,0.963660578,0,0,0,0,0,0,0,0,0,0.036339422,0,0,0,0,0,0
CY03,CY,110,8000,7597,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY03,CY,115,8000,7637,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY03,CY,120,8000,7678,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY03,CY,125,8000,7718,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY03,CY,130,8000,7761,0,0,0.022660561,0.977339439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY03,CY,135,8000,7802,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY03,CY,140,8000,7841,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY03,CY,145,8000,7881,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY03,CY,150,8000,7930,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA02,HA,5,7500,7342,0,0,0.28907563,0,0.71092437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA02,HA,10,7500,7348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA02,HA,15,7500,7352,0,0,0,0,0.622086982,0,0,0,0.377913018,0,0,0,0,0,0,0,0,0,0,0
HA02,HA,20,7500,7357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA02,HA,25,7500,7362,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA02,HA,30,7500,7367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA02,HA,35,7500,7372,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA02,HA,40,7500,7377,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA02,HA,45,7500,7382,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA02,HA,50,7500,7387,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA02,HA,55,7500,7392,0,0,0,0.416732543,0.583267457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA02,HA,60,7500,7397,0,0,0.072660874,0,0.927339126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA02,HA,65,7500,7402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA02,HA,70,7500,7407,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA02,HA,75,7500,7412,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA02,HA,80,7500,7417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA02,HA,85,7500,7422,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA02,HA,90,7500,7427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA02,HA,95,7500,7432,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA02,HA,100,7500,7436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA02,HA,105,7500,7442,0,0,0,0,0.940526668,0.059473332,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA02,HA,110,7500,7447,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HA02,HA,115,7500,7452,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HA02,HA,120,7500,7457,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA02,HA,125,7500,7462,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA02,HA,130,7500,7467,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA02,HA,135,7500,7472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA02,HA,140,7500,7477,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA02,HA,145,7500,7482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA02,HA,150,7500,7487,0,0,0,0,0.446753853,0,0,0,0,0.553246147,0,0,0,0,0,0,0,0,0,0
HA03,HA,5,7500,7407,0,0,0,0,0,0,0.798966111,0,0,0,0.201033889,0,0,0,0,0,0,0,0,0
HA03,HA,10,7500,7417,0,0,0,0,0,0,0.378742011,0,0,0,0,0.621257989,0,0,0,0,0,0,0,0
HA03,HA,15,7500,7427,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA03,HA,20,7500,7437,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HA03,HA,25,7500,7447,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
HA03,HA,30,7500,7457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA03,HA,35,7500,7467,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA03,HA,40,7500,7477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA03,HA,45,7500,7487,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA03,HA,50,7500,7496,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA03,HA,55,8000,7506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA03,HA,60,8000,7515,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA03,HA,65,8000,7526,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA03,HA,70,8000,7535,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA03,HA,75,8000,7545,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA03,HA,80,8000,7555,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA03,HA,85,8000,7565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA03,HA,90,8000,7574,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA03,HA,95,8000,7584,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA03,HA,100,8000,7594,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA03,HA,105,8000,7604,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA03,HA,110,8000,7613,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA03,HA,115,8000,7623,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA03,HA,120,8000,7634,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA03,HA,125,8000,7643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA03,HA,130,8000,7653,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA03,HA,135,8000,7662,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA03,HA,140,8000,7672,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA03,HA,145,8000,7683,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA03,HA,150,8000,7692,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA03,HA,155,8000,7703,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA03,HA,160,8000,7713,0,0.410702341,0,0,0,0,0,0,0,0,0,0.589297659,0,0,0,0,0,0,0,0
HA03,HA,165,8000,7723,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA03,HA,170,8000,7733,0,0,0.39988783,0,0,0.60011217,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA03,HA,175,8000,7743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA03,HA,180,8000,7753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA03,HA,185,8000,7763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA03,HA,190,8000,7774,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA03,HA,195,8000,7784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA03,HA,200,8000,7795,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA03,HA,205,8000,7805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA03,HA,210,8000,7807,0,0,0.465668371,0,0.482834186,0,0,0,0,0,0.051497443,0,0,0,0,0,0,0,0,0
HA04,HA,5,7500,7468,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA04,HA,10,7500,7493,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA04,HA,15,8000,7519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA04,HA,20,8000,7545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA04,HA,25,8000,7570,0,0,0,0,0.866360935,0,0,0,0,0,0.133639065,0,0,0,0,0,0,0,0,0
HA04,HA,30,8000,7597,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA04,HA,35,8000,7620,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA05,HA,5,7500,7170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA05,HA,10,7500,7180,0,0,0,0,0.625,0,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0
HA05,HA,15,7500,7190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA05,HA,20,7500,7200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA05,HA,25,7500,7210,0.008888889,0.069777778,0,0,0,0.084,0,0.137333333,0,0,0,0,0,0.7,0,0,0,0,0,0
HA05,HA,30,7500,7220,0,0.012353568,0,0,0,0,0,0,0,0,0,0,0,0.956336528,0,0,0.031309904,0,0,0
HA05,HA,35,7500,7230,0,0.046650298,0,0,0,0,0.252542967,0,0,0,0,0,0,0.700806734,0,0,0,0,0,0
HA05,HA,40,7500,7241,0,0,0,0,0.064886911,0,0.360029663,0.22246941,0,0,0,0,0,0.352614016,0,0,0,0,0,0
HA05,HA,45,7500,7251,0,0,0,0,0,0,0.075773746,0,0,0,0,0,0,0.924226254,0,0,0,0,0,0
HA05,HA,50,7500,7261,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HA05,HA,55,7500,7271,0.555243446,0,0,0,0,0,0.373907615,0,0,0,0,0,0,0.070848939,0,0,0,0,0,0
HA05,HA,60,7500,7281,0.88483871,0,0,0,0,0,0.086451613,0,0,0,0,0,0,0.028709677,0,0,0,0,0,0
HA05,HA,65,7500,7290,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA05,HA,70,7500,7300,0.896656535,0,0,0,0.047112462,0,0,0.056231003,0,0,0,0,0,0,0,0,0,0,0,0
HA06,HA,5,7500,7316,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA06,HA,10,7500,7340,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA06,HA,15,7500,7362,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA06,HA,20,7500,7386,0,0,0,0,0,0.762626263,0.237373737,0,0,0,0,0,0,0,0,0,0,0,0,0
HA06,HA,25,7500,7409,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HA06,HA,30,7500,7435,0,0.004331921,0,0,0,0.984982672,0.010685406,0,0,0,0,0,0,0,0,0,0,0,0,0
HA06,HA,35,7500,7461,0,0.109443954,0,0,0,0.805236834,0,0,0,0,0,0.085319212,0,0,0,0,0,0,0,0
HA06,HA,40,7500,7487,0,0.264492754,0,0,0,0,0,0,0,0,0,0,0,0,0.735507246,0,0,0,0,0
